Contract ID,Customer ID,Start Date,Renewal Date,Type,Category,Payment, Value 
CON-111,100,1/12/2022,1/12/2023,Standard,Managed Services,30," $10,000 "
CON-112,101,3/05/2023,3/05/2024,Premium,In Person Support,90," $15,000 "
CON-113,102,1/07/2022,1/07/2023,Premium,Project Based,30," $20,000 "
CON-114,103,1/02/2023,1/02/2024,Premium,Training,30," $20,000 "
CON-115,104,4/02/2023,4/02/2024,Standard,In Person Support,90," $10,000 "
CON-116,105,5/05/2023,5/05/2024,Standard,Managed Services,30," $12,000 "
CON-117,106,1/10/2022,1/10/2023,Standard,Managed Services,30," $8,000 "
CON-118,107,30/03/2023,30/03/2024,Premium,Managed Services,90," $18,000 "
CON-119,108,22/11/2022,22/11/2023,Premium,Training,30," $25,000 "
CON-120,109,12/11/2022,12/11/2023,Standard,In Person Support,30," $13,000 "
CON-121,110,4/02/2023,4/02/2024,Standard,Project Based,30," $12,000 "
CON-122,111,1/03/2023,1/03/2024,Standard,Project Based,30," $10,000 "
CON-123,112,12/04/2023,12/04/2024,Standard,In Person Support,30," $10,000 "
CON-124,113,9/04/2023,9/04/2024,Standard,Project Based,90," $10,000 "
CON-125,114,1/06/2023,1/06/2024,Standard,Project Based,30," $9,000 "
CON-126,115,23/11/2022,23/11/2023,Premium,Project Based,30," $30,000 "
CON-127,116,10/08/2022,10/08/2023,Premium,In Person Support,30," $25,000 "
CON-128,117,6/12/2022,6/12/2023,Premium,Training,90," $20,000 "
CON-129,118,23/01/2023,23/01/2024,Standard,Managed Services,30," $9,000 "
CON-130,119,4/05/2023,4/05/2024,Standard,Managed Services,30," $12,000 "
